,회사이름,채용공고,회사평점,회사지역,자격요건
0,(주)피에스알미디어,빅데이터 전문가 채용,3.8,서울,"* 경력 : 책임연구원 급 (4~5년 이상,  빅데이터 전문가)
* 해당직무 근무경험자
* 데이터 분석 설계 능력
* 분석 기획서 작성
* 데이터 분석 결과 해석 능력
* 통계 및 기계 학습 모델에 대한 지식
"
1,(주)피에스알미디어,빅데이터 서비스 QA 전문가(QA엔지니어),3.8,서울,"* 경력 : 책임연구원 급 (4~5년 이상,  빅데이터 전문가)
* 해당직무 근무경험자
* 데이터 분석 설계 능력
* 분석 기획서 작성
* 데이터 분석 결과 해석 능력
* 통계 및 기계 학습 모델에 대한 지식
"
2,코넥시오에이치(주),빅데이터 엔지니어 (대용량 데이터 분산),5.0,서울,"• 빅데이터 기반 서비스의 QA 경험 또는 빅데이터 기반 서비스의 기획 경험이 있으신 분
• 소프트웨어 테스팅과 QA에 대한 기본적인 지식을 보유하신 분
• 버그 리포트, 결함 추적을 위한 보고 작성 및 관리 업무가 능숙하신 분
• 논리적 사고와 분석력을 보유하신 분
• 원활한 커뮤니케이션 능력을 보유하신 분
• QA 전문가라는 자부심과 책임감을 바탕으로 역량을 발휘하고자 하는 분"
3,코넥시오에이치(주),빅데이터 엔지니어(데이터 파이프라인) (신입가능),5.0,서울,"• 빅데이터 기반 서비스의 QA 경험 또는 빅데이터 기반 서비스의 기획 경험이 있으신 분
• 소프트웨어 테스팅과 QA에 대한 기본적인 지식을 보유하신 분
• 버그 리포트, 결함 추적을 위한 보고 작성 및 관리 업무가 능숙하신 분
• 논리적 사고와 분석력을 보유하신 분
• 원활한 커뮤니케이션 능력을 보유하신 분
• QA 전문가라는 자부심과 책임감을 바탕으로 역량을 발휘하고자 하는 분"
4,줌인터넷(주),[알라딘] AI기반 서비스 기획 및 빅데이터 분석,2.7,서울,"[이런 역량을 갖춘 분을 찾습니다]
• 경력이 2년 이상이신 분
• Python, Java, Shell 등에 대해 능숙하게 다룰 수 있는 언어가 하나 이상이신 분
• 자료구조, 알고리즘, 운영체제 등 전산학에 대한 지식이 있으신 분
• 데이터베이스 기초지식과 SQL 활용이 가능하신 분
• 리눅스 환경에서의 시스템 개발 및 운영 경험이 있으신 분"
5,줌인터넷(주),[Data Strategy] Data Analyst,2.7,서울,"[이런 역량을 갖춘 분을 찾습니다]
- 신입 또는 경력 2년 이상이신 분
- java 및 spring/spring boot 개발 역량이 있으시며 해당 개발 언어에 대한 기본 이해가 있으신 분
- database에 대한 이해 및 설계 가능하신 분: DB 정규화,DB INDEX,트랜잭션에 대한 개념의 이해 및 프로시저 구축 가능 하신 분
- 쿼리 작성 가능하신 분:테이블 조인 및 서브 쿼리 작성 가능하신 분
- nosql에 대한 이해도가 있으시며 활용 경험이 있으신 분 :mongo db,redis
- ETL/ELT 파이프라인 구축 경험이 있으신 분
- 파이썬으로 개발 경험이 있으신 분"
6,(주)한국신용데이터,빅데이터 엔지니어(크롤) (신입 가능),3.4,서울,"• 데이터 프러덕트 기획과 관련 통계 지식, 소상공인/카드 매출 데이터에 대한 이해를 보유하신 분
• 다양한 데이터 분석 경험 및 관련 기술을 보유하신 분
• 데이터 분석 도구(R,SAS,Python)를 능숙하게 활용하실 수 있는 분
• 분석 역량을 바탕으로 데이터에 기반한 문제 해결 경험이 많으신 분
• 데이터 상품/서비스 기획 관련 경험 및 대외고객 대상 데이터 분석/컨설팅 관련 이해를 보유하신 분
• 데이터 분석 결과를 기반으로 구성원들과 원활한 커뮤니케이션이 가능하신 분
• 새로운 데이터 상품/서비스를 개발하고 고객과 best practice를 찾는데 열정과 의지가 있으신 분"
7,줌인터넷(주),Data Engineer (경력),2.7,서울,"[이런 역량을 갖춘 분을 찾습니다]
- 신입 또는 경력 2년 이상이신 분
- java 및 spring/spring boot 개발 역량이 있으시며 해당 개발 언어에 대한 기본 이해가 있으신 분
- database에 대한 이해 및 설계 가능하신 분: DB 정규화,DB INDEX,트랜잭션에 대한 개념의 이해 및 프로시저 구축 가능 하신 분
- 쿼리 작성 가능하신 분:테이블 조인 및 서브 쿼리 작성 가능하신 분
- ETL/ELT 파이프라인 구축 경험이 있으신 분
- 파이썬으로 개발 경험이 있으신 분"
8,잡플래닛,"데이터 엔지니어(Data Engineer,주니어)",3.8,서울,"[조직소개]

  잡플래닛 Data Platform 팀은 Data 1st전략으로 서비스의 핵심 자산인 데이터의 최우선 활용을 위해 효율적인 데이터 수집/정제/저장/분석 환경을 구축합니다. 이를 위해 데이터플랫폼의 설계와 구축을 진행하고 안정적 운영을 담당합니다. DB, Log, Text, Image 등 다양한 형태의 정형/비정형 데이터를 모두 다루며 대용량 데이터로부터 인사이트를 효과적으로 뽑아낼 수 있는 기술적 기반을 제공하여 사업 성공에 중추적 역할을 합니다.

 [주요업무]

 • 서비스에 대한 이해를 바탕으로 최적의 데이터 파이프라인 및 데이터 플랫폼 구축 및 운영
 • 클라우드 기반 빅데이터 처리 솔루션들의 이해를 바탕으로 Data Lake 및 DW구축
 • 일관성 있고 활용도 높은 통합 로깅 및 분산추적 시스템 설계 및 운영
 • 데이터 분석 및 머신러닝을 위한 Raw Data의 효율적 정제 및 데이터 구조 정의
 • 데이터분석 라이브러리를 활용하여 분석 환경 개발 및 배포
 • 데이터 특성에 맞는 다양한 질의 툴 및 시각화 툴 도입 및 적용"
9,코넥시오에이치(주),[핀테크] 데이터 엔지니어,5.0,서울,"[요건]
• 대용량 데이터 처리를 위한 실시간 데이터 파이프라인 개발, 운영 경험이 있는 분이 필요해요.
• 데이터분석 아키텍처 설계 및 구현할 수 있는 역량을 지니신 분이 필요해요.
• 대용량 분산 시스템(OLAP DB 등) 활용 경험이 필요해요.
• 대용량 데이터 추출, 변환, 적재, 분석을 위한 소프트웨어역량을 갖춘 분이 필요해요.

[학력]
대졸 이상

[가타]
• 병역필 혹은 면제인 분이 필요해요.
• 해외여행에 결격 사유가 없는 분이 필요해요."
10,(주)리얼날리지,그로스해킹 담당자/데이터분석가(아날리스트)/Data Analyst,0.0,서울,"주요 업무
ㆍ서비스를 성장시키기 위해 데이터를 분석하고 유저들과 소통하여 문제와 해결책을 찾는 일

이러한 그로스해킹 담당자를 찾습니다
ㆍ에피소든은 현재 130개국 이상의 나라의 사람들이 다양한 목적을 가지고 ‘영어회화’에 참여하는 서비스 입니다.
ㆍ현재 트래픽은 빠르게 성장하고 있으나, 세계 도처에서 발생하고 있는 마케팅 이벤트나 우리 서비스의 업데이트에 따라 상당히 요동치며 변화하는 편입니다.
ㆍ이를 관찰하여 포인트를 파악하고, 서비스에 몇 가지 변화만 주어도 유저의 사용시간이나 사용빈도가 크게 증가하기도 합니다. 
ㆍ특히 에피소든의 유저들이 어떤 경험을 하고 있는지를 데이터와 모니터링을 통해 관찰하고, 유저와 소통해가면서 가설을 설정하고 검증해야 하는 일입니다.
ㆍ그리고 그에 따라 문제상황을 해결할 수 있는 솔루션을 제시하여 적용할 수 있는 분을 원합니다. 
ㆍ모두가 처음 해보는 일이기 때문에 쉽지 않은 일이고, 가능성이 큰 만큼 해야할 일도 많습니다.
ㆍ하지만 한국 서비스로서 쉽게 접해보기 어려운 일인 글로벌 유저들을 만나며, 서비스를 키워보는 경험을 할 수 있는 자리입니다. 그런 일에 헌신하고 싶은 분을 찾습니다. "
11,(주)리얼날리지,데이터분석가(Global),0.0,서울,"주요 업무
ㆍ서비스를 성장시키기 위해 데이터를 분석하고 유저들과 소통하여 문제와 해결책을 찾는 일

이러한 그로스해킹 담당자를 찾습니다
ㆍ에피소든은 현재 130개국 이상의 나라의 사람들이 다양한 목적을 가지고 ‘영어회화’에 참여하는 서비스 입니다.
ㆍ현재 트래픽은 빠르게 성장하고 있으나, 세계 도처에서 발생하고 있는 마케팅 이벤트나 우리 서비스의 업데이트에 따라 상당히 요동치며 변화하는 편입니다.
ㆍ이를 관찰하여 포인트를 파악하고, 서비스에 몇 가지 변화만 주어도 유저의 사용시간이나 사용빈도가 크게 증가하기도 합니다. 
ㆍ특히 에피소든의 유저들이 어떤 경험을 하고 있는지를 데이터와 모니터링을 통해 관찰하고, 유저와 소통해가면서 가설을 설정하고 검증해야 하는 일입니다.
ㆍ그리고 그에 따라 문제상황을 해결할 수 있는 솔루션을 제시하여 적용할 수 있는 분을 원합니다. 
ㆍ모두가 처음 해보는 일이기 때문에 쉽지 않은 일이고, 가능성이 큰 만큼 해야할 일도 많습니다.
ㆍ하지만 한국 서비스로서 쉽게 접해보기 어려운 일인 글로벌 유저들을 만나며, 서비스를 키워보는 경험을 할 수 있는 자리입니다. 그런 일에 헌신하고 싶은 분을 찾습니다. "
12,(주)리얼날리지,데이터 엔지니어 (Data Engineer),0.0,서울,"주요 업무
ㆍ서비스를 성장시키기 위해 데이터를 분석하고 유저들과 소통하여 문제와 해결책을 찾는 일

이러한 그로스해킹 담당자를 찾습니다
ㆍ에피소든은 현재 130개국 이상의 나라의 사람들이 다양한 목적을 가지고 ‘영어회화’에 참여하는 서비스 입니다.
ㆍ현재 트래픽은 빠르게 성장하고 있으나, 세계 도처에서 발생하고 있는 마케팅 이벤트나 우리 서비스의 업데이트에 따라 상당히 요동치며 변화하는 편입니다.
ㆍ이를 관찰하여 포인트를 파악하고, 서비스에 몇 가지 변화만 주어도 유저의 사용시간이나 사용빈도가 크게 증가하기도 합니다. 
ㆍ특히 에피소든의 유저들이 어떤 경험을 하고 있는지를 데이터와 모니터링을 통해 관찰하고, 유저와 소통해가면서 가설을 설정하고 검증해야 하는 일입니다.
ㆍ그리고 그에 따라 문제상황을 해결할 수 있는 솔루션을 제시하여 적용할 수 있는 분을 원합니다. 
ㆍ모두가 처음 해보는 일이기 때문에 쉽지 않은 일이고, 가능성이 큰 만큼 해야할 일도 많습니다.
ㆍ하지만 한국 서비스로서 쉽게 접해보기 어려운 일인 글로벌 유저들을 만나며, 서비스를 키워보는 경험을 할 수 있는 자리입니다. 그런 일에 헌신하고 싶은 분을 찾습니다. "
13,(주)리얼날리지,[Data Analytics] 데이터 분석가 (Data Analyst/Data Scientist),0.0,서울,"주요 업무
ㆍ서비스를 성장시키기 위해 데이터를 분석하고 유저들과 소통하여 문제와 해결책을 찾는 일

이러한 그로스해킹 담당자를 찾습니다
ㆍ에피소든은 현재 130개국 이상의 나라의 사람들이 다양한 목적을 가지고 ‘영어회화’에 참여하는 서비스 입니다.
ㆍ현재 트래픽은 빠르게 성장하고 있으나, 세계 도처에서 발생하고 있는 마케팅 이벤트나 우리 서비스의 업데이트에 따라 상당히 요동치며 변화하는 편입니다.
ㆍ이를 관찰하여 포인트를 파악하고, 서비스에 몇 가지 변화만 주어도 유저의 사용시간이나 사용빈도가 크게 증가하기도 합니다. 
ㆍ특히 에피소든의 유저들이 어떤 경험을 하고 있는지를 데이터와 모니터링을 통해 관찰하고, 유저와 소통해가면서 가설을 설정하고 검증해야 하는 일입니다.
ㆍ그리고 그에 따라 문제상황을 해결할 수 있는 솔루션을 제시하여 적용할 수 있는 분을 원합니다. 
ㆍ모두가 처음 해보는 일이기 때문에 쉽지 않은 일이고, 가능성이 큰 만큼 해야할 일도 많습니다.
ㆍ하지만 한국 서비스로서 쉽게 접해보기 어려운 일인 글로벌 유저들을 만나며, 서비스를 키워보는 경험을 할 수 있는 자리입니다. 그런 일에 헌신하고 싶은 분을 찾습니다. "
14,(주)센트비,데이터 분석가 팀장,3.2,서울,"• 능숙한 SQL 능력
• Python / R / SAS 등을 이용한 데이터 분석 능력
• BI 툴 사용 경험이 있으신 분 (Tableau)
• 데이터 분석 관련 실무 경력이 3년 이상이신 분
• RDBMS에 대한 이해도가 높으신 분"
15,잡플래닛,Data Scientist,3.8,서울,"• 데이터분석팀의 중장기 목표를 설정하고, 우선순위를 설정합니다.
• 데이터분석팀의 팀 빌딩을 위한 전략을 세우고, 데이터분석팀 팀원 개개인의 역량을 강화시킵니다.
• 데이터 분석을 통해 서비스의 방향을 설정하고 유관부서를 설득합니다.
• 주요 KPI를 설정하고, 목표 달성을 위해 가설을 세우고 데이터로 검증합니다.
• 프로덕트 팀과 긴밀하게 협업하여 KPI를 추적하고, 시각화하여 팀원들과 공유합니다.
• 서비스 사용 패턴을 파악하기 위한 데이터 로그를 설계하고 관리합니다.개별 프로덕트 차원 뿐만 아니라 전사 차원의 관점에서 비즈니스가 성장하고 있는지 모니터링을 진행 합니다."
16,(주)에이젠글로벌,Data Scientist,3.1,서울,"• 금융 데이터 기반의 통계 분석, 시각화, 모델링, 결과 분석 업무 수행
• Python, SQL을 활용한 데이터 분석 및 시각화를 통한 비즈니스 인사이트 도출
• 머신러닝 자동화 플랫폼을 활용한 이상치 탐지, 리스크 예측, 추천 서비스 등의 모형 개발
• 데이터 분석 및 모형 성능 평가에 필요한 파이프라인 설계
• 머신러닝 자동화 플랫폼 고도화를 위한 의견 제시"
17,(주)띵스플로우,Data Engineer,3.9,서울,"• 다양한 형태의 데이터 분석 및 모델링 가능하신 분
• 데이터 및 머신러닝에 대한 수학적 이해와 통계적 지식이 있는 분
• 최신 알고리즘을 활용하여 실제 비즈니스 문제 해결 경험이 있으신 분
• 3년 이상 유관 업무 경험을 보유하신 분
• 원활한 커뮤니케이션을 통해 분석 및 모델링 결과를 동료들과 소통 할 수 있는 분"
18,(주)띵스플로우,Data Engineer,3.9,서울,"• 다양한 형태의 데이터 확보 및 분석 파이프라인을 구축해보신 분
• ML 모델 서빙과 실시간 추론 시스템을 구축해보신 분
• AWS, GCP 등의 클라우드 서비스를 경험해보신 분
• 5년 이상 유관 업무 경험을 보유하신 분"
19,(주)엔라이즈,시니어 데이터분석가,3.5,서울,"• 데이터 분석 관련 실무 경력이 3년 이상이거나 그에 준하는 역량을 갖추신 분
• 서비스 데이터 분석 방법(LTV, Retention, Cohort, AARRR 등)에 대한 이해도를 갖추신 분
• A/B 테스트에 대한 이해도를 갖추신 분
• 비즈니스 문제 정의와 가설 수립 및 검증까지의 단계를 설계하실 수 있는 분
• 분석한 결과를 구성원들이 이해하기 쉽고 정확하게 전달할 수 있는 역량을 갖추신 분"
20,(주)티디아이,TDI 데이터관리팀 데이터분석 시니어,2.3,서울,"• ELK 스택 경험자
•데이터 애널리스트 경력
•IT/Tech 산업에 관심이 높은 자
•데이터 분석 및 비쥬얼라이징 작업에 관심이 높은 분
•수학적 사고와 통계적 사고를 갖춘 분"
21,(주)티디아이,데이터 분석가(팀장),2.3,서울,"• ELK 스택 경험자
•데이터 애널리스트 경력
•IT/Tech 산업에 관심이 높은 자
•데이터 분석 및 비쥬얼라이징 작업에 관심이 높은 분
•수학적 사고와 통계적 사고를 갖춘 분"
22,(주)티디아이,데이터 분석(3년 이상),2.3,서울,"• ELK 스택 경험자
•데이터 애널리스트 경력
•IT/Tech 산업에 관심이 높은 자
•데이터 분석 및 비쥬얼라이징 작업에 관심이 높은 분
•수학적 사고와 통계적 사고를 갖춘 분"
23,스포카(주),AI Training Data Manager ( AI 학습 데이터 매니저 ) ,3.4,서울,"• 데이터를 이용하여 서비스의 다양한 문제를 해결
• 모바일 서비스의 핵심 지표들을 정의하고, 추적하고, 시각화하여 팀원들과 공유
• 서비스 이용 패턴 분석을 위해 데이터 로그를 설계하고 관리
• 고객 경험을 개선하기 위해 주도적인 데이터 실험을 설계하고 실행
• 사용자 분석을 통해 서비스에 직접적으로 영향을 줄 수 있는 인사이트들을 도출해서 공유
• 비지니스에 필요한 데이터를 추출 가공하여 Tableau 등의 BI를 이용하여 여러가지 사업적 지표를 시각화"
24,잡플래닛,데이터사이언스 교육 기획자,3.8,서울,"- 주요 KPI를 설정하고, 목표 달성을 위해 가설을 세우고 데이터로 검증합니다.
- 프로덕트 팀과 긴밀하게 협업하여 KPI를 추적하고, 시각화하여 팀원들과 공유합니다.
- 서비스 사용 패턴을 파악하기 위한 데이터 로그를 설계하고 관리합니다.
- 데이터 분석을 통해 서비스의 방향을 설정하고 유관부서를 설득합니다."
25,(주)로보코리아,Product Data Analyst Lead,3.8,서울,- '원어민 수준'의 영어 듣기 능력 필수 (영어 음성 데이터 처리 및 영어로 팀원들과 원활한 커뮤니케이션이 가능하신 분)
26,(주)러닝스푼즈,데이터 분석 경력채용,3.9,서울,"💪 기대하는 역할입니다 (주요업무)

- PM과 함께 성장을 원하는 사람들에게 필요한 교육 기획 (기획부터 마케팅까지 제품 사이클 주관)
- 트렌드 분석 & 시장 리서치를 바탕으로 신규 교육 주제 선정
- 커리큘럼 기획 & 강사진 섭외
- 상세페이지 & 마케팅 크리에이티브 제작
- 고객 획득과 고객 참여도를 높이기 위한 마케터와 협업
- 온/오프라인 교육 운영 & 고객 관리 및 니즈 분석"
27,(주)핏펫,데이터 분석가,3.6,서울,"- 스스로 문제를 정의하고 문제 해결을 위한 분석 결과물을 도출하여 솔루션을 제안해 본 경험이 있으신 분
- 앱/웹 사용자 로그를 설계, 분석하고 모바일 서비스 분석 방법(Funnel, AARRR 등) 이해도를 바탕으로 의미 있는 인사이트를 발굴한 경험이 있으신 분
- 최소 4년 이상의 SQL을 통해 방대한 양의 데이터 가공 및 분석 경험이 있으신 분
- 분석 결과를 유관 부서에 명확히 전달할 수 있는 커뮤니케이션 능력이 있으신 분
- 데이터 시각화 및 대시보드 구현 경험이 있으신 분
- 데이터 분석 전문가들을 리드한 경험이 있으신 분"
28,(주)티빙,Strategic Initiative Manager,3.8,서울,"- 데이터 분석 로드맵 기획 및 데이터 마이닝
- 데이터 분석 프로젝트 리딩, 데이터 모델링, 지표 관리 및 비즈니스 인사이트 도출"
29,(주)윙잇,TDI 데이터관리팀 데이터엔지니어 시니어,3.3,서울,"Product Manager와 함께 데이터에서 정량적 근거를 추론하고 지표간 인과성을 확인해요
데이터를 기반으로 서비스가 나아가야 할 방향성을 제시하고, Red Sign이 있는 경우 알려요
데이터 기반의 근거를 토대로 주장하는 것이 보편적인 윙잇에서 논리적인 의사결정을 지원해요
이러한 직무를 수행하기 위해 아래와 같은 세부 업무를 수행해요

1. Tableau 대시보드 운영
2.A/B 테스트 설계 및 해석
3.GTM, MixPanel 연동
4.DW 구축 설계 (BigQuery)
"
30,(주)티디아이,프론트엔드 개발자,2.3,서울,"•프로그래밍 및 데이터 전처리 / 가공 스킬을 보유하고싶은 분
•시스템 자동화 및 모니터링이 가능하신 분
•AWS, GCP, Azure 등 퍼블릭 클라우드 경험이 있는 분"
31,(주)빅픽처팀,Business Data Analyst,3.3,서울,"•웹 서비스 개발									
•새로운 기술을 적용해 코드 최적화 및 개선									
•향후 사용을 위한 모듈화 및 테스트 가능한 코드 및 라이브러리 구축									
•프로덕트 요구사항을 충족할 수 있는 확장(Scalable) 가능한 기술 솔루션 구축									
"
32,(주)빅픽처팀,Data Engineer,3.3,서울,"•웹 서비스 개발									
•새로운 기술을 적용해 코드 최적화 및 개선									
•향후 사용을 위한 모듈화 및 테스트 가능한 코드 및 라이브러리 구축									
•프로덕트 요구사항을 충족할 수 있는 확장(Scalable) 가능한 기술 솔루션 구축									
"
33,(주)빅픽처팀,데이터 사이언티스트(Python),3.3,서울,"•웹 서비스 개발									
•새로운 기술을 적용해 코드 최적화 및 개선									
•향후 사용을 위한 모듈화 및 테스트 가능한 코드 및 라이브러리 구축									
•프로덕트 요구사항을 충족할 수 있는 확장(Scalable) 가능한 기술 솔루션 구축									
"
34,(주)스푼라디오,PM/ 서비스 기획자 경력사원 채용,3.3,서울,"• 비지니스 가설검증 지원
• 목표 설정 및 성과 측정 지원
• KPI 대시보드 관리 및 리포팅"
35,오케스트로(주),데이터프로세싱 개발자,3.5,서울,"• 데이터 파이프라인 설계 및 개발 운영 자동화
• 모니터링 시스템 개발
• 분석 업무를 위한 데이터 웨어하우스 및 데이터 마트 구축
• K8s 기반 서비스 아키텍처 설계 및 개발
• 비즈니스 요구사항에 대한 적절한 인프라 설계, 개발 및 운영"
36,(주)빅픽처팀,[Community] Product Manager,3.3,서울,"- 정량적/정성적 분석을 통한 서비스 기획 전략 제안 및 기획
- 제품 피드백 분석과 자체적인 데이터 분석을 토한 문제 도출 및 문제 해결
- 프로젝트 자원과 제품 요구사항을 만족하는 배포 계획 도출
- 제품 배포를 위한 제품 관리 환경 세팅 및 운영
- 개발자, 디자이너 및 여러 팀과 협업을 통한 프로젝트 리드
- 지속적인 회고 세션 주관과 실행계획 도출"
37,(주)에이모,"데이터 엔지니어 (경력무관, 병역특례 가능)",3.6,경기,"· Python 스크립트 개발 경력 혹은 관련 교육 이수
· 적극적이고 긍정적인 업무 자세 
· 꼼꼼한 업무 처리 및 협업부서와의 커뮤니케이션 역량"
38,(주)에이피알,영상팀 영상 감독,2.6,서울,"- 에이지알, 포토그레이 등 에이피알의 모든 브랜드에 대한 통계적 분석과 ML기술들을 활용하여 에이피알 서비스 확장, 최적화, 새로운 인사이트 발굴
- 기획, CX디자인, 개발팀 등 협업하여 서비스개발, 발굴
- 복잡하고 다양한 대용량 데이터와 비즈니스 상황에 적합한 분석 및 모델링을 진행하고 그에 맞는 최적화와 개선 업무
- 개인화 추천: 에이피알 고객을 프로파일링 하고, 데이터를 기반으로 에이피알 브랜드 매출을 증대시키기 위한 예측 및 추천 모델링을 작업
- 타겟 마켓팅: 비즈니스 요건에 맞는 타겟 세그먼트 발굴 및 확장, 이탈 예측 등 비즈니스 성장을 위해 다양한 예측 모델링 진행
- 분석: 통계에 기반한 실험을 수행하고 결과를 분석하여 새로운 인사이트를 발굴"
39,(주)한국신용데이터,CERT Engineer (침해사고 대응 엔지니어),3.4,서울,"• 데이터 기반 의사결정 및 문제해결 역량: 데이터에 대한 적극적인 탐색과 이해를 바탕으로 요구사항을 명확히 정의하고, 데이터 기반 의사결정으로 주도적 문제 해결
• 목표중심사고 및 집요함: 불확실성이 큰 상황에서 1) 유연하게 대처하여 2) 기회를 발견하고 3) 집요하게 파고들어 의미있는 성과 달성
• 커뮤니케이션 역량: 간결하고 논리적인 커뮤니케이션을 통해 동료를 빠르게 이해/설득시키고 핵심을 명확하게 전달하는 능력
• 내외부 자원 활용 역량: 직접 탐색 및 설득 등 문제해결을 위해 필요한 리소스를 적극적으로 확보하여 목표한 결과를 빠르게 도출해내는 역량
• 그로스 역량: 서비스 및 비즈니스 목표 달성을 위한 그로스 마인드 및 데이터 기반 의사결정 통한 그로스 성과 달성
• PMF(Product-Market Fit) 경험: 스타트업에서 빠른 가설검증 iteration을 통해 복잡도가 높은 문제를 효과적으로 해결하면서 서비스를 성공/성장시킨 경험
• 커뮤니티 기획/관리 경험: 커뮤니티 등 정보교류형 서비스를 기획/개발/운영하면서 빠르게 성장시켜 본 경험"
40,알테어엔지니어링(주),Data Analytics Solution Sales(기술영업),3.8,경기,"ㆍ데이터분석 제품군(https://www.altair.com/data-analytics/) 솔루션 영업
ㆍ고객과의 정기적 미팅을 통한 관계 유지
ㆍ고객의 비즈니스 요구 사항 및 예상 결과를 기반으로 문제를 정의하고 분석
ㆍ당사 솔루션과 서비스의 Value를 고객에게 전파
ㆍ고객의 범위를 더욱 넓히는 영업활동 
ㆍ다양한 업무 팀과의 협업
ㆍ다양한 수준의 고객과 프로젝트 상태 및 결과에 대한 의사소통"
41,알테어엔지니어링(주),데이터처리 플랫폼 개발,3.8,경기,"ㆍ데이터분석 제품군(https://www.altair.com/data-analytics/) 솔루션 영업
ㆍ고객과의 정기적 미팅을 통한 관계 유지
ㆍ고객의 비즈니스 요구 사항 및 예상 결과를 기반으로 문제를 정의하고 분석
ㆍ당사 솔루션과 서비스의 Value를 고객에게 전파
ㆍ고객의 범위를 더욱 넓히는 영업활동 
ㆍ다양한 업무 팀과의 협업
ㆍ다양한 수준의 고객과 프로젝트 상태 및 결과에 대한 의사소통"
42,(주)엔에이치엔데이터,PR Manager,2.9,경기,"• Cloud Platform (AWS, GCP) 환경에서 개발 또는 운영 경험이 있으신 분
• Data Pipeline 개발 및 운영 경험이 있으신 분
• 분석 업무를 위한 데이터 마트 개발 및 운영 경험이 있으신 분"
43,(주)한국신용데이터,PM(DATA/개인화),3.4,서울,"• 스타트업, 정보기술, 금융, 소상공인 등 다양한 분야의 취재 담당자와 원활한 소통 능력
• 보도자료의 작성, 배포 및 결과 측정에 능숙함
• 기자 간담회 등 언론 행사를 수행할 수 있는 능력"
44,리디(주),Business Analyst,3.4,서울,"리디의 프로덕트 매니저는 고객의 관점에서 끊임없이 생각하며 제품이 나아가야 할 방향성을 제안하고 고객이 더 나은 서비스를 경험할 수 있도록 기획을 리딩하는 역할을 담당합니다. 

[주요 업무]

검색 및 추천 서비스에 오너십을 가지고 고객의 콘텐츠 탐색 경험을 혁신합니다.

- 리디 콘텐츠 및 고객에 특화된 검색 서비스 기획
- 콘텐츠 키워드를 활용한 다양한 탐색 경험 제공
- 추천 알고리즘을 활용한 다양한 개인화 서비스 제공
- 검색 및 추천 품질 관리"
45,(주)한국신용데이터,Product Design Lead,3.4,서울,"• 유관 업무 경력이 2년 이상이신 분
• 문제를 정의하고 가설을 수립하여 검증하는 Cycle을 경험하신 분
• 문제 해결에 필요한 Action을 추진력 있게 실행 하시는 분
• 위 과정에서 다양한 업무 담당자와 의사소통하고, 필요한 일을 설득하는 경험을 하신 분"
46,(주)한국신용데이터,[Marketplace] Senior Frontend Engineer,3.4,서울,"[ 기술 (스킬, 경험) ]
• 10년 이상 혹은 그에 준하는 모바일 서비스의 프로덕트 디자인 / UX 디자인 업무 경험
• 프러덕트 디자인의 전략을 세우고, 전략을 액션 아이템으로 연결할 수 있는 능력
• 비즈니스에 대한 높은 이해와 데이터 중심 의사결정 능력
• 문제를 정의하고, 문제 해결을 위한 가설을 바탕으로 실험을 설계하고, 실험 결과를 해석하는 능력
• 디자인 시스템 제작 및 관리 경험
• 확장되는 프로덕트의 디자인 팀의 업무 생산성을 높이기 위한 고민 및 실행 경험
• 뛰어난 커뮤니케이션 스킬로 디자인을 설명할 수 있으며 동료와 토론이 가능한 능력

[ 태도 ]
• 팀 구성원 개인에 대한 관심을 가지고, 그들의 성장을 도울 수 있는 분
• 새로운 것읍 습득하는데 열려있는 분
• 맡은 일에 책임감을 가지고 마무리 할수 있는 분
• 복잡함과 불확실성을 관리하면서 앞으로 나갈 수 있는 분"
47,(주)한국신용데이터,데이터 엔지니어 팀 리드 (5년 이상),3.4,서울,"• 기술 및 경험
    - 프로덕션 환경에서 React + TypeScript 로 웹 프론트엔드 프로덕을 3년 이상 개발/운영한 경험 (전체개발경력 최소 7년 이상)
    - 프론트엔드의 각 레이어에서 사용 가능한 기술 스택의 장단점을 이해하고, 프로덕의 상황에 맞춰 적절한 기술을 선택할 수 있는 능력
복잡한 비즈니스 로직을 정확하고 빠르게 이해하며 기술 적자를 쌓지 않는 문제 해결 능력
빠르고 신중한 의사결정으로 업무 진행 중 병목을 효과적으로 해소하는 능력

• 태도
    - 프론트엔드 팀이 더 만족스럽게 일하기 위해 강조하고 있는 네가지 마음가짐에 공감하시는 분
    - 누구든 갑자기 휴가를 떠나도 괜찮다: 모두가 모두의 작업을 이해하고 커버할 수 있게 노력하고, 코드리뷰와 페어 작업을 적극 권장합니다.
    - 모든 것은 기록하고 공유되어야 한다: 과할 정도로 기록하고, 문서화합니다. 이는 a를 위한 것이기도 합니다.
    - UX만큼이나 DX도 중요하다: 팀 크기가 커지면, 팀 생산성을 늘리기 위해 많은 의도적 노력이 필요합니다. 반복 작업을 줄이고, 커뮤니케이션 비용 줄이기 위해 끊임없이 고민하고 실행합니다.
    - 프로젝트 안에서는 내가 CTO다: 프로젝트 안에서 프론트엔드 전문가로서, 동료들이 더 나은 의사결정을 할 수 있도록 나서야 합니다. 기획에 의문을 제기하고, 더 나은 UX 플로우를 가져가기 위해 집착하고, 동료에게 아낌없이 피드백을 주고, 기꺼이 도와주어야 합니다."
